OBJECTID,HighwayBridgeId,BridgeClass,Tract,Name,Owner,BridgeType,Width,NumSpans,Length,MaxSpanLength,SkewAngle,SeatLength,SeatWidth,YearBuilt,YearRemodeled,PierType,FoundationType,ScourIndex,Traffic,TrafficIndex,Condition,Cost,Latitude,Longitude,Comment
4529,OR000601,HWB3 ,41059951100,WESTLAND IRR CANAL,State Highway Agency,207,55.0000000,1,9,9,14,,,1967,,,,5,13600,,766,1844.318999999999960,45.788024999999998,-119.349318999999994,
4530,OR000606,HWB3 ,41005024200,NORTH FK CLACKAMAS RIVER,State Highway Agency,319,9.1000004,1,7,7,0,,,1979,,,,8,690,,NNN,237.339599999999990,45.232532999999997,-122.253771999999998,
4531,OR000610,HWB3 ,41005023500,CURRIN CREEK,County Highway Agency,501,10.0000000,1,8,7,0,,,1982,,,,U,890,,776,298.071799999999996,45.323627999999999,-122.346480999999997,
4532,OR000616,HWB3 ,41047010303,CHAMPOEG CR,County Highway Agency,104,10.0000000,1,8,7,0,,,1955,,,,U,26800,,775,298.071799999999996,45.163086000000000,-122.947511000000006,Functionally Obsolete
4533,OR000622,HWB3 ,41005021500,KELLOG CREEK,County Highway Agency,501,11.0000000,1,8,8,20,,,1982,,,,4,4900,,777,327.878899999999987,45.422235999999998,-122.603183000000001,
4534,OR000623,HWB3 ,41005023800,GRIBBLE CREEK,County Highway Agency,501,11.0000000,1,8,8,20,,,1982,,,,4,1600,,777,327.878899999999987,45.186571999999998,-122.679378000000000,
4535,OR000624,HWB3 ,41005022901,PARROTT CREEK,County Highway Agency,502,9.0000000,1,34,33,5,,,1989,,,,3,21800,,677,1140.124499999999898,45.295847000000002,-122.651736000000000,Functionally Obsolete
4536,OR000625,HWB3 ,41023960100,SMITH CREEK,State Highway Agency,102,9.0000000,1,6,6,0,,,1941,,,,3,390,,666,201.198399999999992,44.649372000000000,-119.144210999999999,
4537,OR000626,HWB3 ,41023960100,FOX CREEK,State Highway Agency,102,9.0000000,1,8,8,0,,,1941,,,,3,390,,667,268.264599999999973,44.637661000000001,-119.145514000000006,
4538,OR000629,HWB3 ,41063960200,LOSTINE RIVER,County Highway Agency,303,6.0000000,1,19,18,19,,,1974,,,,U,58,,656,424.752200000000016,45.469763999999998,-117.425866999999997,
4539,OR000630,HWB3 ,41063960100,CHESNIMUS CREEK,County Highway Agency,303,6.0000000,1,10,9,10,,,1975,,,,3,32,,466,223.553799999999995,45.703203000000002,-117.101483000000002,Structurally Deficient
4540,OR000635,HWB3 ,41033360400,COYOTE CREEK,State Highway Agency,101,56.0000000,1,9,9,45,,,1965,,,,5,20100,,765,1877.852000000000089,42.497233000000001,-123.362869000000003,
4541,OR000636,HWB3 ,41065970700,MILL CREEK,County Highway Agency,104,9.0000000,1,9,9,31,,,1941,,,,3,1012,,665,301.797700000000020,45.573936000000003,-121.238174999999998,
4542,OR000637,HWB3 ,41065970700,MILL CREEK,County Highway Agency,104,9.0000000,1,10,10,36,,,1941,,,,7,330,,766,335.330699999999979,45.567610999999999,-121.257999999999996,
4543,OR000638,HWB3 ,41065970700,MILL CREEK,County Highway Agency,104,9.0000000,1,9,8,25,,,1941,,,,7,330,,774,301.797700000000020,45.566457999999997,-121.269525000000002,Structurally Deficient
4544,OR000645,HWB3 ,41059950200,LITTLE WALLA WALLA RIVER,State Highway Agency,207,29.0000000,1,7,6,0,,,1975,1975,,,3,11500,,555,756.357099999999946,45.934575000000002,-118.387649999999994,
4545,OR000651,HWB3 ,41059950100,PINE CREEK,City or Municipal High...,104,24.0000000,1,8,8,0,,,1937,,,,U,610,,666,715.372200000000021,45.813642000000002,-118.424813999999998,
4546,OR000668,HWB3 ,41025960200,SILVIES SLOUGH(17TH BR),State Highway Agency,501,11.0000000,1,9,9,0,,,1971,,,,3,720,,886,368.863800000000026,43.564166999999998,-118.953050000000005,
4547,OR000673,HWB3 ,41051005900,WB HWY 26,State Highway Agency,107,20.0000000,1,11,10,0,,,1946,,,,N,32100,,666,819.697300000000041,45.500106000000002,-122.677683000000002,Functionally Obsolete
4548,OR000681,HWB3 ,41069960100,PARRISH CREEK,County Highway Agency,501,10.0000000,1,16,15,45,,,1973,,,,U,150,,667,596.143500000000017,44.795366999999999,-119.802335999999997,
4549,OR000713,HWB3 ,41051010500,ONEONTA GORGE CREEK,State Highway Agency,104,11.0000000,1,15,15,0,,,1948,,,,3,4200,,675,614.773000000000025,45.589568999999997,-122.076021999999995,Functionally Obsolete
4550,OR000726,HWB3 ,41001950500,NORTH POWDER RIVER,State Highway Agency,502,14.0000000,1,29,29,6,,,1972,,,,8,10600,,688,1512.714199999999892,45.018856000000000,-117.921916999999993,
4551,OR000727,HWB3 ,41001950500,NORTH POWDER RIVER,State Highway Agency,502,14.0000000,1,29,29,6,,,1972,,,,8,10600,,688,1512.714199999999892,45.018653000000000,-117.922366999999994,
4552,OR000729,HWB3 ,41051007202,NE 6TH AVE,State Highway Agency,107,26.0000000,1,11,10,0,,,1950,,,,N,21200,,666,1065.606500000000096,45.592666999999999,-122.667766999999998,Functionally Obsolete
4553,OR000730,HWB3 ,41051007202,N. VANCOUVER WAY,State Highway Agency,107,27.0000000,1,11,10,7,,,1950,,,,N,17400,,666,1106.591400000000021,45.587156000000000,-122.664389000000000,Functionally Obsolete
4554,OR000754,HWB3 ,41019030000,BUCK CREEK ROAD,State Highway Agency,502,18.0000000,1,32,32,15,,,1981,,,,N,5100,,786,2146.116599999999835,43.707597000000000,-123.220864000000006,
4555,OR000789,HWB3 ,41029003001,GALLS CR FRONT RD CONN,State Highway Agency,107,27.0000000,1,9,9,0,,,1952,,,,N,39000,,666,905.393000000000029,42.432077999999997,-123.071489000000000,Functionally Obsolete
4556,OR000802,HWB3 ,41013950100,MARKS CREEK,State Highway Agency,502,12.0000000,1,18,18,20,,,1965,,,,5,990,,777,804.793699999999944,44.387453000000001,-120.516186000000005,
4557,OR000803,HWB3 ,41013950100,MARKS CREEK,State Highway Agency,502,12.0000000,1,18,18,20,,,1966,,,,5,990,,777,804.793699999999944,44.392057999999999,-120.517458000000005,
4558,OR000832,HWB3 ,41001950500,POWDER R (CHANDLER LN),County Highway Agency,302,10.0000000,1,20,19,45,,,1976,1976,,,3,127,,666,745.179399999999987,44.861668999999999,-117.833781000000002,
4559,OR000879,HWB3 ,41007950200,COLUMBIA RIVER,State Highway Agency,302,10.0000000,1,45,45,0,,,1965,,,,5,8500,,777,1676.653600000000097,46.190880999999997,-123.849571999999995,Functionally Obsolete
4560,OR000887,HWB3 ,41063960300,HURRICANE CREEK,County Highway Agency,202,9.0000000,1,17,11,23,,,1955,,,,4,304,,766,570.062199999999962,45.349283000000000,-117.269685999999993,
4561,OR000903,HWB3 ,41035971000,LOST RIVER,County Highway Agency,102,9.0000000,1,23,21,0,,,1956,,,,3,340,,655,771.260700000000043,42.140936000000004,-121.678650000000005,
4562,OR000906,HWB3 ,41047000900,SHELTON DITCH,State Highway Agency,111,18.0000000,1,14,14,30,,,1956,1956,,,7,35300,,665,938.926000000000045,44.932661000000003,-123.029267000000004,
4563,OR001098,HWB3 ,41039003600,MCVAY ACCESS,State Highway Agency,107,9.1000004,1,7,7,0,,,1962,,,,N,57800,,666,237.339599999999990,44.022489000000000,-123.027243999999996,
4564,OR001128,HWB3 ,41055950100,CONN RD,State Highway Agency,107,24.0000000,1,11,11,40,,,1963,,,,N,12700,,777,983.636799999999994,45.728672000000003,-120.654961000000000,Functionally Obsolete
4565,OR001137,HWB3 ,41039004000,BICYCLE PATH,State Highway Agency,105,9.0000000,1,32,32,0,,,1967,,,,N,13600,,667,1073.058299999999917,44.063464000000003,-123.100982999999999,
4566,OR001149,HWB3 ,41035970100,CRESCENT CR,County Highway Agency,501,10.0000000,1,9,8,0,,,1972,,,,U,838,,776,335.330699999999979,43.496692000000003,-121.841144000000000,
4567,OR001153,HWB3 ,41053005201,BOAT MOORAGE ACCESS,State Highway Agency,107,31.0000000,1,9,9,0,,,1963,,,,N,47200,,775,1039.525200000000041,44.945289000000002,-123.046794000000006,
4568,OR001174,HWB3 ,41021960100,CHINA CREEK,State Highway Agency,502,17.0000000,1,21,21,0,,,1964,,,,8,330,,777,1330.145199999999932,45.717027999999999,-120.201110999999997,
4569,OR001175,HWB3 ,41021960100,CHINA CREEK,State Highway Agency,101,28.0000000,1,9,9,0,,,1964,,,,8,330,,777,938.926000000000045,45.717027999999999,-120.201110999999997,
4570,OR001190,HWB3 ,41045970900,MALHEUR RIVER (RED BRIDG,County Highway Agency,504,9.0000000,1,37,36,0,,,1986,,,,4,73,,777,1240.723700000000008,43.556235999999998,-118.165916999999993,
4571,OR001194,HWB3 ,41051005700,HWY 61 & CONN 4,State Highway Agency,107,62.0000000,1,10,9,99,,,1967,,,,N,32400,,555,2310.056099999999788,45.506428000000000,-122.681989000000002,
4572,OR001195,HWB3 ,41051005700,HWY 47 CONN 1,State Highway Agency,107,123.0000000,1,12,11,0,,,1967,,,,N,105400,,556,5499.423899999999776,45.505381000000000,-122.678617000000003,Functionally Obsolete
4573,OR001210,HWB3 ,41063960300,WALLOWA RIVER,County Highway Agency,501,10.0000000,1,12,12,0,,,1964,,,,5,1112,,656,447.107599999999991,45.412599999999998,-117.276453000000004,
4574,OR001211,HWB3 ,41063960300,WALLOWA RIVER,County Highway Agency,501,10.0000000,1,10,9,0,,,1964,,,,4,596,,777,372.589699999999993,45.417971999999999,-117.283852999999993,
4575,OR001212,HWB3 ,41063960300,HURRICANE CREEK,County Highway Agency,501,10.0000000,1,12,12,0,,,1964,,,,5,1112,,767,447.107599999999991,45.399560999999999,-117.276239000000004,
4576,OR001213,HWB3 ,41049970100,USRS WILSON ROAD CANAL,County Highway Agency,501,10.0000000,1,10,10,20,,,1963,,,,8,227,,767,372.589699999999993,45.828116999999999,-119.635406000000003,
4577,OR001223,HWB3 ,41001950300,BURNT R(WEATHERBY) R/W,State Highway Agency,501,8.0000000,1,18,18,0,,,1972,,,,3,510,,776,536.529199999999946,44.709650000000003,-117.744442000000006,Functionally Obsolete
4578,OR001239,HWB3 ,41051005500,RIGID FRAME O'XING 18TH,State Highway Agency,107,49.0000000,1,14,13,8,,,1968,,,,N,13900,,667,2555.965299999999843,45.515343999999999,-122.693742000000000,
4579,OR001242,HWB3 ,41005022301,HWY 1E,State Highway Agency,302,8.0000000,1,24,24,0,,,1970,,,,N,8000,,666,715.372200000000021,45.365394000000002,-122.600783000000007,
4580,OR001243,HWB3 ,41041951700,CAPE PERPETUA,State Highway Agency,501,4.0000000,1,10,10,0,,,1963,,,,N,2600,,667,149.035899999999998,44.298456000000002,-124.108997000000002,Functionally Obsolete
4581,OR001275,HWB3 ,41059950500,TUTUILLA CREEK,State Highway Agency,505,58.0000000,1,10,10,0,,,1969,,,,5,24600,,N66,2161.020199999999932,45.662108000000003,-118.806927999999999,
4582,OR001293,HWB3 ,41001950500,POWDER R (HUGHES LN),County Highway Agency,505,12.0000000,1,24,24,26,,,1966,,,,3,2294,,787,1073.058299999999917,44.796097000000003,-117.829577999999998,
4583,OR001322,HWB3 ,41039001700,COAST FK WILLAMETTE OFLO,State Highway Agency,501,15.0000000,1,15,15,0,,,1967,,,,8,16600,,766,838.326800000000048,43.994886000000001,-123.000561000000005,
4584,OR001348,HWB3 ,41063960200,WALLOWA RIVER,County Highway Agency,505,12.0000000,1,28,27,0,,,1967,,,,5,217,,746,1251.901399999999967,45.570075000000003,-117.523342000000000,Structurally Deficient
4585,OR001350,HWB3 ,41005020700,10TH STREET,State Highway Agency,505,14.0000000,1,42,42,6,,,1970,,,,N,92600,,666,2190.827400000000125,45.347714000000003,-122.651864000000003,
4586,OR001351,HWB3 ,41005022702,10TH STREET,State Highway Agency,505,14.0000000,1,43,43,8,,,1970,,,,N,106300,,666,2242.989900000000034,45.373558000000003,-122.727396999999996,
4587,OR001352,HWB3 ,41005020501,BLANKENSHIP ROAD,State Highway Agency,505,14.0000000,1,42,42,29,,,1970,,,,N,92600,,766,2190.827400000000125,45.351757999999997,-122.661303000000004,
4588,OR001353,HWB3 ,41005020700,BLANKENSHIP ROAD,State Highway Agency,505,14.0000000,1,42,42,30,,,1970,,,,N,92600,,666,2190.827400000000125,45.351802999999997,-122.660641999999996,
4589,OR001376,HWB3 ,41001950500,POWDER RIVER,State Highway Agency,502,14.0000000,1,36,35,16,,,1972,,,,3,10600,,688,1877.852000000000089,45.008175000000001,-117.911625000000001,Functionally Obsolete
4590,OR001377,HWB3 ,41001950500,POWDER RIVER,State Highway Agency,502,14.0000000,1,36,35,16,,,1972,,,,3,10600,,688,1877.852000000000089,45.008038999999997,-117.912119000000004,Functionally Obsolete
4591,OR001382,HWB3 ,41005021500,MT SCOTT CREEK,State Highway Agency,502,35.0000000,1,24,24,19,,,1970,,,,U,21600,,777,3129.753400000000056,45.428986000000002,-122.604022000000001,
4592,OR001386,HWB3 ,41005022301,ABERNETHY CK,State Highway Agency,319,9.1000004,1,7,7,99,,,1971,,,,8,27700,,NNN,237.339599999999990,45.364722000000000,-122.600821999999994,
4593,OR001389,HWB3 ,41063960200,BEAR CREEK,County Highway Agency,522,11.0000000,1,23,23,19,,,1970,,,,8,408,,777,942.651899999999955,45.570163999999998,-117.548175000000001,
4594,OR001390,HWB3 ,41063960200,BEAR CREEK,County Highway Agency,522,11.0000000,1,22,21,0,,,1970,,,,8,139,,777,901.667100000000005,45.574897000000000,-117.546653000000006,
4595,OR001392,HWB3 ,41001950600,BURNT R,County Highway Agency,501,8.0000000,1,19,18,6,,,1970,,,,4,21,,786,566.336300000000051,44.500377999999998,-117.371350000000007,
4596,OR001400,HWB3 ,41025960100,TROUT CREEK (FIRST XING),State Highway Agency,319,9.1000004,1,8,2,28,,,1988,,,,8,470,,NNN,271.245299999999986,43.919941999999999,-118.932500000000005,
4597,OR001404,HWB3 ,41053020400,GOOSENECK CREEK,County Highway Agency,501,8.0000000,1,20,19,40,,,1982,,,,U,354,,777,596.143500000000017,45.007168999999998,-123.464611000000005,
4598,OR001405,HWB3 ,41053020400,WEST FORK SALT CREEK,County Highway Agency,501,8.0000000,1,12,12,25,,,1988,,,,3,261,,886,357.686100000000010,44.998547000000002,-123.360753000000003,
4599,OR001406,HWB3 ,41053020400,WEST FORK SALT CREEK,County Highway Agency,319,9.0000000,1,8,8,0,,,1988,,,,U,208,,NNN,268.264599999999973,44.998136000000002,-123.372249999999994,
4600,OR001408,HWB3 ,41059951300,U.S.R.S. CANAL,County Highway Agency,501,8.0000000,1,14,14,16,,,1984,,,,8,938,,888,417.300500000000000,45.789594000000001,-119.205061000000001,
4601,OR001412,HWB3 ,41061970100,PHILLIPS CREEK,County Highway Agency,501,11.0000000,1,16,15,0,,,1965,,,,3,360,,777,655.757899999999950,45.565083000000001,-117.983772000000002,
4602,OR001413,HWB3 ,41061970800,LADD CREEK,County Highway Agency,501,9.0000000,1,16,16,0,,,1986,,,,3,73,,778,536.529199999999946,45.276589000000001,-117.952832999999998,
4603,OR001416,HWB3 ,41061970100,CLARK CREEK,County Highway Agency,501,9.0000000,1,18,17,7,,,1986,,,,5,27,,767,603.595299999999952,45.555577999999997,-117.901899999999998,
4604,OR001417,HWB3 ,41061970100,INDIAN CREEK,County Highway Agency,501,9.0000000,1,14,13,0,,,1985,,,,4,73,,677,469.463000000000022,45.537903000000000,-117.901758000000001,
4605,OR001419,HWB3 ,41061970800,GRANDE RONDE RIVER,County Highway Agency,504,9.0000000,1,40,40,25,,,1978,,,,U,67,,787,1341.322899999999890,45.349617000000002,-117.963586000000006,
4606,OR001420,HWB3 ,41049970200,RHEA CREEK (SNYDER),County Highway Agency,302,6.0000000,1,16,16,0,,,1951,,,,U,61,,565,357.686100000000010,45.396428000000000,-119.783327999999997,Functionally Obsolete
4607,OR001421,HWB3 ,41049970200,WILLOW CREEK EB,County Highway Agency,505,8.0000000,1,27,26,0,,,1980,,,,3,135,,777,804.793699999999944,45.498446999999999,-119.829499999999996,
4608,OR001424,HWB3 ,41049970200,WILLOW CREEK EB,County Highway Agency,501,9.0000000,1,22,21,0,,,1987,,,,U,10,,888,737.727600000000052,45.619225000000000,-119.958200000000005,
4609,OR001427,HWB3 ,41049970200,RHEA CREEK-KEENE BRIDGE,County Highway Agency,302,6.0000000,1,13,12,0,,,1930,,,,5,58,,365,290.620000000000005,45.391024999999999,-119.781761000000003,Structurally Deficient
4610,OR001431,HWB3 ,41071030602,BAKER CREEK,County Highway Agency,702,5.0000000,1,12,12,0,,,1972,,,,U,337,,774,223.553799999999995,45.226322000000003,-123.270049999999998,Structurally Deficient
4611,OR001432,HWB3 ,41071030400,SMALL STREAM,County Highway Agency,501,7.0000000,1,8,8,0,,,1971,,,,U,315,,776,208.650200000000012,45.387078000000002,-123.188331000000005,
4612,OR001433,HWB3 ,41071030400,SMALL STREAM,County Highway Agency,501,9.0000000,1,10,9,0,,,1973,,,,U,315,,777,335.330699999999979,45.355710999999999,-123.199392000000003,
4613,OR001434,HWB3 ,41071030400,TURNER CREEK,County Highway Agency,302,7.0000000,1,12,12,0,,,1959,,,,8,591,,666,312.975300000000004,45.371808000000001,-123.258460999999997,
4614,OR001438,HWB3 ,41071030400,HAY CREEK,County Highway Agency,501,7.0000000,1,7,7,35,,,1969,,,,U,145,,777,182.568900000000014,45.399417000000000,-123.276803000000001,
4615,OR001442,HWB3 ,41071030400,HASKINS CREEK,County Highway Agency,501,7.0000000,1,10,10,0,,,1967,,,,U,247,,556,260.812799999999982,45.343108000000001,-123.301022000000003,
4616,OR001443,HWB3 ,41071030400,HASKINS CREEK,County Highway Agency,501,6.0000000,1,10,9,0,,,1967,,,,U,214,,775,223.553799999999995,45.332630999999999,-123.308955999999995,Functionally Obsolete
4617,OR001449,HWB3 ,41071030302,BRYAN CREEK,County Highway Agency,501,9.0000000,1,11,11,33,,,1970,,,,3,478,,775,368.863800000000026,45.319291999999997,-123.025443999999993,
4618,OR001450,HWB3 ,41071030400,MILLICAN CREEK,County Highway Agency,501,10.0000000,1,8,7,0,,,1974,1974,,,U,2510,,775,298.071799999999996,45.317292000000002,-123.090753000000007,
4619,OR001453,HWB3 ,41071030602,BERRY CREEK,County Highway Agency,501,7.0000000,1,8,8,0,,,1964,,,,U,655,,776,208.650200000000012,45.235016999999999,-123.247427999999999,
4620,OR001454,HWB3 ,41071030602,BERRY CREEK,County Highway Agency,501,7.0000000,1,8,7,30,,,1966,,,,U,203,,775,208.650200000000012,45.249485999999997,-123.266238999999999,
4621,OR001465,HWB3 ,41051007800,HWY 64 CONN 1,State Highway Agency,505,10.0000000,1,44,44,0,,,1979,,,,N,20000,,656,1639.394600000000082,45.545713999999997,-122.559583000000003,Functionally Obsolete
4622,OR001471,HWB3 ,41051008302,EB HWY 2 TO SB HWY 64,State Highway Agency,506,9.0000000,1,46,46,0,,,1985,,,,N,5600,,777,1542.521300000000110,45.504424999999998,-122.565950000000001,
4623,OR001479,HWB3 ,41051008301,Light Rail & CONN SB,State Highway Agency,505,24.0000000,1,35,35,0,,,1979,,,,N,7200,,666,3129.753400000000056,45.497352999999997,-122.565567000000001,
4624,OR001482,HWB3 ,41051000601,HAROLD ST,State Highway Agency,505,49.0000000,1,34,34,4,,,1978,,,,N,172300,,666,6207.344299999999748,45.482722000000003,-122.565777999999995,
4625,OR001490,HWB3 ,41021960100,CONDON CANYON CR,State Highway Agency,319,9.1000004,1,7,7,0,,,1972,,,,8,450,,NNN,237.339599999999990,45.184817000000002,-120.184031000000004,
4626,OR001491,HWB3 ,41021960100,CONDON CANYON CR,State Highway Agency,319,9.1000004,1,7,7,0,,,1972,,,,8,450,,NNN,237.339599999999990,45.165816999999997,-120.207728000000003,
4627,OR001492,HWB3 ,41021960100,CONDON CANYON CR,State Highway Agency,319,9.1000004,1,7,7,0,,,1972,,,,8,420,,NNN,237.339599999999990,45.169410999999997,-120.205496999999994,
4628,OR001493,HWB3 ,41039000100,MC KENZIE R (FISH HOLE B,State Highway Agency,502,14.0000000,1,29,29,45,,,1972,,,,8,2800,,677,1512.714199999999892,44.153964000000002,-122.352800000000002,Functionally Obsolete
4629,OR001494,HWB3 ,41013950400,PAULINA CREEK,County Highway Agency,501,6.0000000,1,14,14,22,,,1988,,,,U,24,,786,312.975300000000004,44.167008000000003,-119.978285999999997,
4630,OR001498,HWB3 ,41033361500,CHENEY CREEK,County Highway Agency,504,8.0000000,1,10,9,0,,,1964,,,,8,907,,675,298.071799999999996,42.367725000000000,-123.448406000000006,
4631,OR001502,HWB3 ,41065970800,FIFTEENMILE CREEK,County Highway Agency,501,12.0000000,1,19,18,37,,,1977,,,,8,128,,887,849.504500000000007,45.451025000000001,-121.116628000000006,
4632,OR001503,HWB3 ,41065970800,THREEMILE CREEK,County Highway Agency,501,11.0000000,1,8,8,0,,,1979,,,,U,772,,777,327.878899999999987,45.228650000000002,-121.269439000000006,
4633,OR001504,HWB3 ,41001950600,CLEAR CREEK,County Highway Agency,522,8.0000000,1,14,14,45,,,1976,,,,U,207,,556,417.300500000000000,44.906799999999997,-117.119018999999994,
4634,OR001507,HWB3 ,41045970500,OWYHE CANAL,County Highway Agency,522,9.0000000,1,8,8,29,,,1969,,,,7,729,,766,268.264599999999973,43.880066999999997,-117.033039000000002,
4635,OR001508,HWB3 ,41045970700,MITCHELL CANAL (JENETA),County Highway Agency,522,8.0000000,1,7,7,10,,,1974,,,,8,490,,776,208.650200000000012,43.816172000000002,-117.104436000000007,
4636,OR001509,HWB3 ,41045970700,OWYHEE CANAL,County Highway Agency,522,10.0000000,1,7,6,8,,,1965,1965,,,8,250,,765,260.812799999999982,43.794589000000002,-117.109296999999998,
4637,OR001511,HWB3 ,41013950100,MCKAY CREEK,County Highway Agency,501,11.0000000,1,15,14,12,,,1974,,,,8,403,,777,614.773000000000025,44.365639000000002,-120.846357999999995,
4638,OR001512,HWB3 ,41061970400,WILLOW CREEK EB,County Highway Agency,501,9.0000000,1,14,13,10,,,1980,,,,3,528,,777,469.463000000000022,45.486206000000003,-118.032230999999996,
4639,OR001517,HWB3 ,41045970900,WILLOW CREEK EB,County Highway Agency,501,7.0000000,1,19,18,15,,,1985,,,,3,76,,777,495.544300000000021,44.260244000000000,-117.528971999999996,
4640,OR001518,HWB3 ,41045970600,WILLOW CR,County Highway Agency,501,7.0000000,1,18,18,0,,,1986,,,,3,32,,767,469.463000000000022,44.112338999999999,-117.331424999999996,
4641,OR001519,HWB3 ,41045970600,WILLOW CR,County Highway Agency,501,7.0000000,1,19,18,0,,,1987,,,,5,76,,777,495.544300000000021,44.071410999999998,-117.285466999999997,
4642,OR001520,HWB3 ,41045970600,VALE CANAL SIPHON,County Highway Agency,501,8.0000000,1,13,13,30,,,1968,,,,8,234,,777,387.493299999999977,43.994719000000003,-117.364982999999995,
4643,OR001522,HWB3 ,41065970800,LARCH CREEK,County Highway Agency,501,10.0000000,1,9,8,0,,,1975,,,,8,10,,767,335.330699999999979,45.370660999999998,-121.271731000000003,
4644,OR001524,HWB3 ,41065970800,FIFTEENMILE CREEK,County Highway Agency,502,9.0000000,1,37,37,30,,,1982,,,,4,24,,776,1240.723700000000008,45.511256000000003,-121.037450000000007,
4645,OR001525,HWB3 ,41045970900,SPRING CR,County Highway Agency,501,7.0000000,1,9,9,37,,,1988,,,,5,109,,777,234.731500000000011,43.317377999999998,-117.109291999999996,
4646,OR001526,HWB3 ,41045970900,CARTER CR,County Highway Agency,501,7.0000000,1,11,11,10,,,1988,,,,5,109,,777,286.894099999999980,43.317413999999999,-117.114885999999998,
4647,OR001527,HWB3 ,41045970900,BENDIRE CREEK,County Highway Agency,505,7.0000000,1,29,28,17,,,1986,,,,8,55,,777,756.357099999999946,43.943688999999999,-118.128314000000003,
4648,OR001532,HWB3 ,41065970400,MILL CREEK,City or Municipal High...,502,17.0000000,1,34,34,45,,,1975,,,,7,7165,,777,2153.568400000000111,45.602660999999998,-121.200669000000005,
4649,OR001533,HWB3 ,41015950200,CONN RD,State Highway Agency,107,9.1000004,1,8,8,0,,,1956,,,,N,3800,,776,271.245299999999986,42.431761000000002,-124.430456000000007,Functionally Obsolete
4650,OR001541,HWB3 ,41031960202,WILLOW CREEK EB,City or Municipal High...,501,19.0000000,1,17,17,25,,,1974,,,,3,128,,877,1203.464699999999993,44.634641999999999,-121.121696999999998,
4651,OR001542,HWB3 ,41063960300,WHISKEY CREEK,County Highway Agency,501,10.0000000,1,9,8,0,,,1974,,,,5,109,,777,335.330699999999979,45.599625000000003,-117.446731000000000,
4652,OR001545,HWB3 ,41005024304,WARM SPRINGS  HWY 53,State Highway Agency,502,14.0000000,1,40,40,8,,,1974,,,,N,1200,,766,2086.502300000000105,45.283033000000003,-121.713830999999999,
4653,OR001546,HWB3 ,41065970800,FIFTEENMILE CREEK,County Highway Agency,501,10.0000000,1,15,15,33,,,1975,,,,4,418,,777,558.884500000000003,45.430767000000003,-121.225192000000007,
4654,OR001547,HWB3 ,41065970800,TYGH CREEK,County Highway Agency,501,6.0000000,1,13,13,0,,,1975,,,,3,11,,777,290.620000000000005,45.268935999999997,-121.235266999999993,Functionally Obsolete
4655,OR001548,HWB3 ,41065970700,NORTH FORK MILL CREEK,County Highway Agency,501,6.0000000,1,12,11,0,,,1975,,,,U,11,,777,268.264599999999973,45.534289000000001,-121.402161000000007,
4656,OR001550,HWB3 ,41065970700,FIVEMILE CREEK,County Highway Agency,501,7.0000000,1,7,7,0,,,1975,,,,7,30,,777,182.568900000000014,45.478974999999998,-121.310383000000002,
4657,OR001551,HWB3 ,41065970700,FIVEMILE CREEK,County Highway Agency,501,7.0000000,1,7,6,0,,,1975,,,,7,30,,777,182.568900000000014,45.480105999999999,-121.304833000000002,
4658,OR001552,HWB3 ,41065970700,FIVEMILE CREEK,County Highway Agency,501,7.0000000,1,7,6,0,,,1975,,,,7,30,,777,182.568900000000014,45.494031000000000,-121.275597000000005,
4659,OR001553,HWB3 ,41065970700,FIVEMILE CREEK,County Highway Agency,501,7.0000000,1,7,6,0,,,1975,,,,7,30,,777,182.568900000000014,45.490872000000003,-121.289783000000000,
4660,OR001554,HWB3 ,41065970700,FIVEMILE CREEK,County Highway Agency,501,7.0000000,1,7,6,0,,,1975,,,,7,30,,777,182.568900000000014,45.511681000000003,-121.223455999999999,
4661,OR001555,HWB3 ,41063960200,BEAR CREEK,County Highway Agency,501,10.0000000,1,20,20,40,,,1975,,,,5,136,,766,745.179399999999987,45.516435999999999,-117.550708000000000,
4662,OR001556,HWB3 ,41063960200,LOSTINE RIVER,County Highway Agency,504,10.0000000,1,25,24,26,,,1976,,,,5,136,,887,931.474199999999996,45.537621999999999,-117.480143999999996,
4663,OR001557,HWB3 ,41061970100,LOOKINGGLASS CREEK,County Highway Agency,504,9.0000000,1,26,25,10,,,1978,,,,8,28,,787,871.859900000000039,45.707033000000003,-117.843243999999999,
4664,OR001558,HWB3 ,41063960100,IMNAHA RIVER,County Highway Agency,504,9.0000000,1,35,34,30,,,1978,,,,3,66,,888,1173.657500000000027,45.403961000000002,-116.790210999999999,
4665,OR001559,HWB3 ,41063960300,HURRICANE CREEK,County Highway Agency,501,9.0000000,1,12,12,0,,,1979,,,,8,222,,866,402.396900000000016,45.410761000000001,-117.284761000000003,
4666,OR001561,HWB3 ,41001950600,POWDER RIVER,County Highway Agency,505,10.0000000,1,31,30,0,,,1976,,,,8,136,,777,1155.028000000000020,44.837361000000001,-117.529403000000002,
4667,OR001563,HWB3 ,41023960100,MIDDLE FORK JOHN DAY RVR,County Highway Agency,501,8.0000000,1,12,11,0,,,1979,,,,5,155,,777,357.686100000000010,44.643785999999999,-118.634585999999999,
4668,OR001564,HWB3 ,41061970800,GRANDE RONDE RIVER,County Highway Agency,504,9.0000000,1,40,40,0,,,1978,,,,8,593,,787,1341.322899999999890,45.342944000000003,-118.014466999999996,
